listing_id,title,monthly_rent_npr,area_sqft_approx,road_width_ft,location,ward,municipality,district,property_type,house_type,direction,bedrooms,bathrooms,living_rooms,kitchens,total_rooms,parking,built_up_sqft,no_of_flats,built_year,description,city,source
8569,house on rent at baluwatar 2.75 lakhs per month sold,275000.0,1540.12,,"Baluwatar Kathmandu Metropolis Kathmandu, Bagmati",,Baluwatar Kathmandu Metropolis,Kathmandu,house,Residential,Select Direction,7.0,4.0,1.0,1.0,,,,2.5,Select Year,house on rent at Baluwatar 7bhk 4 bathroom 270k nego ===================== Code:FHS524R Call Viber WhatsApp Wechat 9813794428 9863680035 *Free service for clients (ग्राहकलाई नि:शुल्क सेवा),kathmandu,gharghaderi.com
8513,"Building on Rent - Gairidhara, Bluwatar",249999.0,4791.5,,"Baluwatar Kathmandu Metropolis Kathmandu, Bagmati",,Baluwatar Kathmandu Metropolis,Kathmandu,house,Choose Type,East,,,,,,Cars 3-5,,3.5,Select Year,Building on Rent 3.5 Storey Good for both office and Residential Purpose 15 rooms  3 attached bathroom ware house Parking Garden Sunny Area 9801819034 9801341285,kathmandu,gharghaderi.com
8498,house on rent at  budhanilkantha,420000.0,,,"budhanilkantha Budhanilkantha Kathmandu, Bagmati",,,Kathmandu,house,Choose Type,Select Direction,4.0,3.0,1.0,1.0,,,,2.5,Select Year,"house on rent at budhanilkantha near park village hotel 4 beds, one attach bathroom, 3 bathrooms, dining, living, kitchen, store, guard , land 800 square meters, lately rented by Australian embassy. Rent $3000. Earthquake resistance approved FHS522R ================ Code: FHS522R Call Viber WhatsApp 014720882 , 9863680035 *Free service for clients (ग्राहकलाई नि:शुल्क सेवा)",kathmandu,gharghaderi.com
8469,Baluwator - Fully Furnished Banglow House on rent,200000.0,2224.62,,"Baluwatar Kathmandu Metropolis Kathmandu, Bagmati",,Baluwatar Kathmandu Metropolis,Kathmandu,house,Furnished,Select Direction,4.0,2.0,2.0,1.0,,Cars 2,,2.5,Select Year,Fully Furnished Banglow House on rent Ac Room Car Parking Gym Hall 6.5 Aana Garden Standard Modular Kitchen Enough Sunrise Peace and Cool Environment,kathmandu,gharghaderi.com
8444,"Beautiful House on rent at Shyambhu, Kathmandu",72000.0,1540.12,13.0,"shyambhu Budhanilkantha Kathmandu, Bagmati",,,Kathmandu,house,Residential,South,4.0,2.0,1.0,1.0,,Car 1,,,Select Year,"House on rent at Shyambhu, Kathmandu Key Features: Property Code:-HR 241 Price :- 72k Per Month Location:- Shyambhu Bedrooms:- 4 Bathrooms:-2 Living Hall:-1 Modular Kitchen & Dining:-1 Furnishings:-Non -Furnished Facing:- South Parking:- 1 car, Few bikes Contact Us Phone Numbers 984-5877861 –  9762791734 –  9762791735 – 9864032233 Landline number +97715253861 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ Facebook Page: [Indus Property]( Instagram: [Contact Us]( #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestateagent #propertynepalofficial #nepalhousingmarket",kathmandu,gharghaderi.com
8420,house on rent at  dhumbarahi sold,200000.0,,13.0,"Dhumbarahi Kathmandu Metropolis Kathmandu, Bagmati",,Dhumbarahi Kathmandu Metropolis,Kathmandu,house,Residential,Select Direction,5.0,5.0,1.0,1.0,,,,2.5,Select Year,House On Rent at dhumbarahi 5bhk 5 bathroom rent 200k ================ Code:FHS522R 014720882 9863680035 . *Free service for clients (ग्राहकलाई नि:शुल्क सेवा),kathmandu,gharghaderi.com
8391,"Beautiful House on rent at Sano bharyang, Kathmandu",80000.0,1369.0,13.0,"Sano bharyang Kathmandu Metropolis Kathmandu, Bagmati",,Sano bharyang Kathmandu Metropolis,Kathmandu,house,Residential,South,4.0,3.0,1.0,1.0,,Car 1,,,Select Year,"Beautiful House on rent at Sano Bharyang, Kathmandu Key Features: Property Code:-HR 235 Price :- 80k Per Month Location:- Sano Bharyang Bedrooms:- 4 Bathrooms:-3 Living Hall:-1 Modular Kitchen & Dining:-1 Furnishings: Non -Furnished Facing:- South Parking:- 1 Contact Us Phone Numbers –  984-5877861 –  9762791734 –  9762791735 – 9864032233 Landline number +97715253861 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ Facebook Page: [Indus Property]( Instagram: [Contact Us]( #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestateagent #propertynepalofficial #nepalhousingmarket",kathmandu,gharghaderi.com
8372,house on rent at golfutar sold,180000.0,10952.0,,"Hattigauda Budhanilkantha Kathmandu, Bagmati",,,Kathmandu,house,Choose Type,Select Direction,4.0,5.0,2.0,1.0,,,,2.5,Select Year,House on rent hattigauda 2 ropani land 5 bedroom 2 big hall kitchen dining 4(1 attached bathroom) 16 ft road rent 180k nego ================ Code:FHS521R Call Viber WhatsApp 014720882 9863680035 *Free service for clients (ग्राहकलाई नि:शुल्क सेवा),kathmandu,gharghaderi.com
8333,House For Rent At Budhanilkantha 22 aana 40k per month sold,400000.0,7529.5,20.0,"ganeshchowk Budhanilkantha Kathmandu, Bagmati",,,Kathmandu,house,Residential,South,5.0,4.0,1.0,1.0,,,,2.5,Select Year,house on rent at ganesh chowk budhanilkantha 22 aana 5bhk 4 bathroom 4000sqft south face 20ft road rent 400k nego just 100 meter from main road ===================== Code:FHS519R Call Viber WhatsApp Wechat 014720882 9863680035 *Free service for clients (ग्राहकलाई नि:शुल्क सेवा),kathmandu,gharghaderi.com
8324,House on rent at budhanilkantha 5bhk 4 bathroom semi furnished house in colony rent,130000.0,1540.12,,"budhanilkantha Budhanilkantha Kathmandu, Bagmati",,,Kathmandu,house,Residential,Select Direction,5.0,3.0,1.0,1.0,,,,2.5,Select Year,House on rent at budhanilkantha 5bhk 4 bathroom semi furnished house in colony rent 130k ===================== Code: FHS518R Call Viber WhatsApp Wechat 014720882 9863680035 *Free service for clients (ग्राहकलाई नि:शुल्क सेवा),kathmandu,gharghaderi.com
8301,House for rent at swayambhu sold,75000.0,1369.0,13.0,"swayambhu Nagarjun Kathmandu, Bagmati",,,Kathmandu,house,Choose Type,Select Direction,4.0,3.0,1.0,1.0,,,,2.5,Select Year,,kathmandu,gharghaderi.com
8272,House for rent at chappalkarkhana,330000.0,11294.25,16.0,"chappalkarkhana Kathmandu Metropolis Kathmandu, Bagmati",,chappalkarkhana Kathmandu Metropolis,Kathmandu,apartments,Residential,West,5.0,5.0,1.0,,,,,2.5,Select Year,house on rent chapalkharkhana 5Bhk 5 bathroom 33 aana land 16ft road west face security room servant quarter rent 330k near ring road ================ Code:FHS516R Call Viber WhatsApp 9863680035 *Free service for clients (ग्राहकलाई नि:शुल्क सेवा),kathmandu,gharghaderi.com
8268,"2.5 Storey Bungalow House Rent in Gurjudhara, Satungal, Chandragiri, Kathmandu",52000.0,1369.0,12.0,"gurjudhara 8 Chandragiri Kathmandu, Bagmati",8.0,,Kathmandu,house,Residential,South West,5.0,3.0,1.0,1.0,7.0,Car 1,900.0,2.5,2079,"# Price : 52,000 # Furniture : Non Furnished # Type : Residential # Facing : South – West # Located near Embossed Number Plate Registration Office # Ground Floor : 1 living room, 1 kitchen, 1 bathroom &  1 laundry room # First Floor : 3 bedroom, 1 bathroom & 2 balcony # Second Floor : 2 bedroom, 1 bathroom, 1 store room or pooja room & terrace # Third Floor : Rooftop (kausi) # Public Transportation : 300 meter # Water : Available (pipeline) # Land Size : 4 aana # Road Size : 12 ft pitched # Parking : 1 four wheeler & 1 two wheeler",kathmandu,gharghaderi.com
8261,House On Rent At Budhanilkantha 1 lakh 50 hajar per month sold,150000.0,1711.25,13.0,"budhanilkantha Budhanilkantha Kathmandu, Bagmati",,,Kathmandu,house,Residential,South,4.0,3.0,1.0,1.0,,,,2.5,Select Year,house on rent at budhanilkantha 4bhk east & south face 13ft road semi furnished 150k nego near rudreshwor chowk ============= Code: FHS515R Call Viber WhatsApp 9863680035 *Free service for clients (ग्राहकलाई नि:शुल्क सेवा),kathmandu,gharghaderi.com
8139,"Residential House for rent in Nagarjun-6, Sitapaila inside Civil Homes Phase VII",55000.0,787.17,13.0,"Sitapaila 6 Kathmandu Metropolis Kathmandu, Bagmati",6.0,Kathmandu Metropolis,Kathmandu,house,Residential,West,3.0,3.0,1.0,1.0,6.0,Cars 5-10,1400.0,2.5,2075,"Residential house inside Civil Homes Phase VII Colony with 3 Bedrooms, 3 bathrooms (1 attached with bedroom), 1 Kitchen, 1 Big Hall and small garden space at entrance. Ample car parking space inside residential housing. Security 24/7, Ample water supply Situated at quiet and pollution free area.",kathmandu,gharghaderi.com
8130,"House on rent at Maharajgunj, Kathmandu 1 lakhs 50 thousands per months",150000.0,1540.12,13.0,"Maharajgunj Kathmandu Metropolis Kathmandu, Bagmati",,Maharajgunj Kathmandu Metropolis,Kathmandu,house,Residential,South,4.0,3.0,1.0,1.0,,Car 1,,,Select Year,"Houses on Rent at Maharajgunj, Kathmandu Key Features: Property Code:-HR 219 Price :- 150k per month Location:-Maharajgunj, Chapal karkhana Bedrooms:- 4 Bathrooms:-3 Living Hall:-1 Modular Kitchen & Dining:-1 Furnishings: Semi-Furnished Facing:- South Parking:- 1car,few bikes Road Access:- 13Ft Contact Us Phone Numbers –  984-5877861 –  9762791734 –  9762791735 – 9864032233 – 9766389438 – Landline number +97715253861 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ /> Facebook Page: [Indus Property]( /> Instagram: [Contact Us]( />#Induspropertynepal #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestateagent #propertynepalofficial #nepalhousingmarket",kathmandu,gharghaderi.com
7994,House for rent in Tarakeshwar,55000.0,1711.25,24.0,"Dharmasthali 6 Tarakeshwar Kathmandu, Bagmati",6.0,,Kathmandu,house,Residential,South,5.0,3.0,2.0,2.0,6.0,Cars 2,2800.0,2.5,2078,,kathmandu,gharghaderi.com
7954,House On Rent built on 11 aana land  2.50 lakh per month,250000.0,3764.75,11.0,"Baneshwor Kathmandu Metropolis Kathmandu, Bagmati",,Baneshwor Kathmandu Metropolis,Kathmandu,house,Semi-commercial,North,8.0,6.0,4.0,4.0,12.0,Cars 5-10,5500.0,4.5,2071,"आफ़िसिअल घरहरु भाडामा सेन्ट्रल बानेश्वर चोक देखि १०० मीटरको दुरीमा १०.५ आना बनेको ४.५ तल्ले 5500 व. फीट घर भाडामा Manpower, consultancy तथा Office हरुको लागि अति उत्तम Rent 2.5 L",kathmandu,gharghaderi.com
7928,"House on rent at Baluwatar, Kathmandu 1.20k per month",120000.0,1026.75,13.0,"Baluwatar Kathmandu Metropolis Kathmandu, Bagmati",,Baluwatar Kathmandu Metropolis,Kathmandu,house,Residential,South,4.0,2.0,1.0,1.0,,Car 1,,,Select Year,"House on Rent at Baluwatar, Kathmandu Key Features: Property Code:-HR 211 Price :- 120K Per Month Location:- Baluwatar Bedrooms:- 4 Bathrooms:-2 Living Hall:-1 Modular Kitchen & Dining:-1 Furnishings: Non-Furnished Facing:- South Parking:-1Car, Few Bikes Road Access:- 13Ft Storey:-3 Contact Us Phone Numbers –  984-5877861 –  9762791734 –  9762791735 – 9864032233 – 9766389438 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ /> Facebook Page: [Indus Property]( /> Instagram: [Contact Us]( />#Induspropertynepal #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestateagent #propertynepalofficial #nepalhousingmarket",kathmandu,gharghaderi.com
7920,"House on rent at Maharajgunj, Kathmandu 150k per month",150000.0,1197.88,13.0,"Maharajgunj Kathmandu Metropolis Kathmandu, Bagmati",,Maharajgunj Kathmandu Metropolis,Kathmandu,house,Residential,South,4.0,3.0,1.0,1.0,,Car 1,,,Select Year,"Beautiful Houses on Rent at Maharajgunj, Kathmandu Key Features: Property Code:-HR 210 Price :- 150K Per Month Location:-Maharajgunj, chapal karkhana Bedrooms:- 4 Bathrooms:-3 Living Hall:-1 Modular Kitchen & Dining:-1 Furnishings: Semi-Furnished Facing:- South Parking:-1Car, Few Bikes Road Access:- 13Ft Storey:-2.5 Contact Us Phone Numbers –  984-5877861 –  9762791734 –  9762791735 – 9864032233 – 9766389438 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ /> Facebook Page: [Indus Property]( /> Instagram: [Contact Us]( />#Induspropertynepal #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestateagent #propertynepalofficial #nepalhousingmarket",kathmandu,gharghaderi.com
7846,"House on rent at Budhanilkanth, Kathmandu",150000.0,1197.88,13.0,"Sunder basti Budhanilkantha Kathmandu, Bagmati",,,Kathmandu,house,Residential,North,5.0,3.0,2.0,1.0,,Car 1,,,Select Year,"Fully-Furnished Houses on Rent at Budhanilkanth, KTM Key Features: Property Code:-HR 208 Price :- 1.50k/Month Location:-Budhanilkanth, Sunder basti Bedrooms:- 5 Bathrooms:-3 Living Hall:-1 Modular Kitchen & Dining:-2 Furnishings: Fully-Furnished Facing:- North Parking:-1Car, Few Bikes Road Access:- 20Ft Storey:-2.5 Contact Us Phone Numbers –   984-5877861 –   9762791734 –   9762791735 –  9864032233 –  9766389438 Facilities –   Electricity –   Cable Connection –   Peaceful Environment –   24/7 Water Supply –   No Vehicle & Sound Pollution For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ Facebook Page: [Indus Property]( Instagram: [Contact Us]( #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestateagent #propertynepalofficial #nepalhousingmarket +3 Like Comment Share",kathmandu,gharghaderi.com
7737,Banglow house on rent @Maharajgunj,150000.0,4107.0,,"Maharajgunj Budhanilkantha Kathmandu, Bagmati",,,Kathmandu,house,Residential,North,6.0,4.0,1.0,1.0,7.0,Cars 3-5,,2.5,2075,Ek dam ramro Ghar BANGLOW LOOKS 3 WOTA GADI PARKING GARNA MILNE GUARD HOUSE VAKO GARDEN VAKO BAJAR BATA NAJIK PEACEFUL AND SAFE,kathmandu,gharghaderi.com
7652,"Beautiful House on rent at mid baneshwor, kathmandu sold",120000.0,1711.25,13.0,"mid baneshwor Kathmandu Metropolis Kathmandu, Bagmati",,mid baneshwor Kathmandu Metropolis,Kathmandu,house,Residential,South,3.0,3.0,1.0,1.0,,Car 1,,2.5,Select Year,"Beautiful House on Rent at Mid Baneshwor, Kathmandu! Key Features: Property Code:-HR 196 Land Area:- 5 Aana Rent-Price:- 1.20 lakh/month Location:- Mid Baneshwor, Kathmandu Bedrooms:- 3 Bathrooms:-3 Living Hall:-1 Modular Kitchen & Dining:-1 Parking:-1Car, Few Bikes Road Access:- 13-20 Ft Furnishings:- Full-Furnished Storey:-3 Contact Us Phone Numbers –  984-5877861 –  9762791734 –  9762791735 – 9864032233 – 9766389438 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution — For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ Facebook Page: [Indus Property]( Instagram: [Contact Us](",kathmandu,gharghaderi.com
7636,House on rent at Budhanilkanth 1 lakhs 50 thousand per month,150000.0,1197.88,13.0,"Budhanilkanth Kathmandu Metropolis Kathmandu, Bagmati",,Budhanilkanth Kathmandu Metropolis,Kathmandu,house,Residential,North,5.0,3.0,1.0,2.0,,Car 1,,,Select Year,"Your Dream Home Awaits! 5BHK House on Rent at Budhanilkantha ,Kathmandu! Key Features: Property Code:-HR 140 Price :- 1.50lakh /month Location:- Budhanilkanth Bedrooms:- 5 Bathrooms:-3 Living Hall:-1 Modular Kitchen & Dining:-2 Facing:- North Parking:-1Car, Few Bikes Road Access:- 13 Ft Furnishings:- Fully-Furnished Storey:-2.5 Contact Us Phone Numbers –  984-5877861 –  9762791734 –  9762791735 – 9864032233 – 9766389438 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution — For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ /> Facebook Page: [Indus Property]( /> Instagram: [Contact Us]( />— #Induspropertynepal #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestateagent #propertynepalofficial #nepalhousingmarket",kathmandu,gharghaderi.com
7614,"House on Rent at Baluwatar, kathmandu 1 lakh 20 hajar",120000.0,4791.5,13.0,"Baluwatar Kathmandu Metropolis Kathmandu, Bagmati",,Baluwatar Kathmandu Metropolis,Kathmandu,house,Residential,North,8.0,5.0,1.0,2.0,,Cars 3-5,,,Select Year,"Your Dream Home Awaits! Beautiful Bungalow on Rent at Baluwatar,Kathmandu! Key Features: Property Code:-HR 140 Price :- 1.20 lakh/month Location:- Baluwatar,Kathmandu Land Area :- 14 Aanna Bedrooms:-8 Bathrooms:-5 Living Hall:-1 Modular Kitchen & Dining:-2 Facing:- North Parking:-1Car, Few Bikes Road Access:- 13 Ft Furnishings: Full-Furnished Garden:- Yes Storey:-2 Contact Us Phone Numbers –  984-5877861 –  9762791734 –  9762791735 – 9864032233 – 9766389438 ️ Facilities – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution — For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ /> Facebook Page: [Indus Property]( /> Instagram: [Contact Us]( />— #Induspropertynepal #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestateagent #propertynepalofficial #nepalhousingmarket",kathmandu,gharghaderi.com
7583,"House on rent at Cozy home, lalitpur",80000.0,6160.5,13.0,"Cozy home Kathmandu Metropolis Kathmandu, Bagmati",,Cozy home Kathmandu Metropolis,Kathmandu,house,Residential,South East,7.0,5.0,1.0,2.0,,Cars 3-5,,,Select Year,"फराकिलो र उज्यालो भित्रीभाग,आधुनिक जीवनयापनको लागि उपयुक्त। Fully-furnished House on Rent at Cozy home, lalitpur Key Features: Property Code:-HR 136 Rent Price:- 80k /month Location:- Cozy home Bedrooms:-5 with 2 Attached Bathrooms:-4 Living Hall:-1 Modular Kitchen & Dining:-2 Facing:- East-South Parking:-5Car, Few Bikes Road Access:-13 Ft Furnishing:- Fully-Furnished Storey:-2 Contact Us Phone Numbers –  984-5877861 –  9762791734 –  9762791735 – 9864032233 – 9766389438 ️ Facilities – ️Garden – ️ Electricity – ️ Cable Connection – ️ Peaceful Environment – ️ 24/7 Water Supply – ️ No Vehicle & Sound Pollution — For More Information Contact Details Indus Property Nepal Pvt. Ltd Email: [](mailto:) Website: [ Facebook Page: [Indus Property]( Instagram: [Contact Us]( #realestateagent #propertyinnepall #foryoupagereels #trendingreelsvideo #kathmandu #lalitpur #Induspropertynepal #TrustedRealEstateExpert #realestateexpertpert #toprealestateagent #propertynepalofficial #nepalhousingmarket",kathmandu,gharghaderi.com
